                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.24522,                0.24034,                0.16767,                0.85686,                 0.9995,                      1,                  0.995,                0.98946,                 0.9995,                      1,                  0.995,                0.99456,                0.15887,                0.13303,                0.13871,                0.63797,              0.0005348,              0.0005348,              0.0005348
                    114,                 0.2398,                0.23315,                0.16833,                0.85526,                 0.9995,                      1,                  0.995,                0.99127,                 0.9995,                      1,                  0.995,                  0.995,                0.16553,                0.12475,                0.13562,                0.62938,              0.0005216,              0.0005216,              0.0005216
                    115,                0.24293,                0.22863,                0.16586,                0.86198,                0.99944,                      1,                  0.995,                0.99075,                0.99944,                      1,                  0.995,                0.99461,                0.16194,                0.11691,                0.12964,                0.63086,              0.0005084,              0.0005084,              0.0005084
                    116,                0.23783,                0.23372,                 0.1683,                0.85448,                0.99947,                      1,                  0.995,                0.99139,                0.99947,                      1,                  0.995,                  0.995,                0.15892,                0.13559,                0.12512,                0.62403,              0.0004952,              0.0004952,              0.0004952
                    117,                0.24017,                 0.2383,                0.16704,                0.85751,                0.99947,                      1,                  0.995,                0.99221,                0.99947,                      1,                  0.995,                  0.995,                0.17849,                0.11831,                0.12611,                0.63609,               0.000482,               0.000482,               0.000482
                    118,                0.24344,                0.24011,                 0.1689,                0.85897,                0.99895,                      1,                  0.995,                0.99198,                0.99895,                      1,                  0.995,                  0.995,                0.15238,                0.12794,                0.13497,                0.63254,              0.0004688,              0.0004688,              0.0004688
                    119,                0.23922,                0.23682,                0.16365,                0.85317,                0.99914,                      1,                  0.995,                0.99309,                0.99914,                      1,                  0.995,                  0.995,                0.14966,                0.10933,                0.13073,                0.62689,              0.0004556,              0.0004556,              0.0004556
                    120,                0.23614,                0.23134,                0.16426,                0.85641,                0.99932,                      1,                  0.995,                0.99298,                0.99932,                      1,                  0.995,                  0.995,                0.15556,                0.11333,                0.13919,                0.62814,              0.0004424,              0.0004424,              0.0004424
                    121,                 0.2413,                0.23803,                0.16739,                0.85518,                0.99914,                      1,                  0.995,                0.99301,                0.99914,                      1,                  0.995,                  0.995,                0.16525,                0.11328,                0.13698,                0.62569,              0.0004292,              0.0004292,              0.0004292
                    122,                0.22879,                0.23148,                0.16002,                0.84455,                0.99949,                      1,                  0.995,                0.99303,                0.99949,                      1,                  0.995,                  0.995,                0.14259,                0.11076,                0.13066,                0.62382,               0.000416,               0.000416,               0.000416
                    123,                0.23661,                0.21978,                0.16008,                0.85376,                0.99929,                      1,                  0.995,                0.99309,                0.99929,                      1,                  0.995,                  0.995,                 0.1759,                0.10798,                0.12874,                0.63084,              0.0004028,              0.0004028,              0.0004028
                    124,                0.23529,                0.24211,                0.15769,                0.85064,                0.99943,                      1,                  0.995,                0.99237,                0.99943,                      1,                  0.995,                  0.995,                0.16618,                0.11274,                0.11413,                0.62823,              0.0003896,              0.0003896,              0.0003896
                    125,                0.23218,                0.23323,                0.15802,                0.86052,                 0.9995,                      1,                  0.995,                0.99355,                 0.9995,                      1,                  0.995,                  0.995,                0.16948,                0.11159,                0.11426,                0.62927,              0.0003764,              0.0003764,              0.0003764
                    126,                0.22551,                0.22735,                0.15413,                0.84683,                0.99951,                      1,                  0.995,                0.99388,                0.99951,                      1,                  0.995,                  0.995,                0.15032,                0.11092,                0.10901,                0.62705,              0.0003632,              0.0003632,              0.0003632
                    127,                0.22105,                0.22194,                0.14964,                 0.8539,                0.99948,                      1,                  0.995,                 0.9933,                0.99948,                      1,                  0.995,                  0.995,                0.16865,                0.10702,                0.11489,                   0.63,                0.00035,                0.00035,                0.00035
                    128,                0.22613,                0.22537,                0.15348,                0.85359,                 0.9995,                      1,                  0.995,                0.99155,                 0.9995,                      1,                  0.995,                  0.995,                0.16796,                0.10913,                0.11084,                0.62918,              0.0003368,              0.0003368,              0.0003368
                    129,                0.22989,                0.23199,                0.15401,                0.85439,                0.99943,                      1,                  0.995,                0.99341,                0.99943,                      1,                  0.995,                  0.995,                0.15208,                0.11609,                0.10849,                0.62477,              0.0003236,              0.0003236,              0.0003236
                    130,                0.22266,                0.22102,                0.14695,                0.84912,                 0.9995,                      1,                  0.995,                0.99363,                 0.9995,                      1,                  0.995,                  0.995,                0.14912,                0.11189,                0.10938,                0.62668,              0.0003104,              0.0003104,              0.0003104
                    131,                0.22356,                0.22153,                 0.1489,                0.85433,                0.99932,                      1,                  0.995,                0.99347,                0.99932,                      1,                  0.995,                  0.995,                0.14258,                0.11265,                0.10454,                0.62742,              0.0002972,              0.0002972,              0.0002972
                    132,                 0.2273,                0.22199,                0.14993,                0.84788,                0.99946,                      1,                  0.995,                0.99287,                0.99946,                      1,                  0.995,                  0.995,                0.14667,                0.11439,                0.10847,                0.62796,               0.000284,               0.000284,               0.000284
                    133,                 0.2289,                0.21589,                 0.1538,                 0.8546,                0.99942,                      1,                  0.995,                0.99303,                0.99942,                      1,                  0.995,                  0.995,                0.14005,                0.11996,                0.10593,                0.62946,              0.0002708,              0.0002708,              0.0002708
                    134,                0.22503,                0.21463,                0.14973,                0.85688,                 0.9994,                      1,                  0.995,                0.99302,                 0.9994,                      1,                  0.995,                  0.995,                0.14577,                0.12258,                0.11314,                0.62673,              0.0002576,              0.0002576,              0.0002576
                    135,                0.22109,                  0.224,                0.15083,                0.84616,                0.99895,                      1,                  0.995,                0.99303,                0.99895,                      1,                  0.995,                  0.995,                0.15187,                0.10737,                0.12672,                0.62702,              0.0002444,              0.0002444,              0.0002444
                    136,                0.21662,                   0.22,                0.14584,                0.84619,                  0.999,                      1,                  0.995,                 0.9925,                  0.999,                      1,                  0.995,                  0.995,                0.13697,                0.11717,                0.11657,                0.62523,              0.0002312,              0.0002312,              0.0002312
